Date,Open,High,Low,Close,Volume
9/21/2023 16:00:00,131.44,132.23,130.07,130.44,31503910
9/22/2023 16:00:00,130.76,132.03,129.6,130.25,26397337
9/25/2023 16:00:00,129.83,131.17,128.96,131.11,20094643
9/26/2023 16:00:00,129.77,130.36,127.22,128.57,25718704
9/27/2023 16:00:00,128.57,130.9,128.57,130.54,22746452
9/28/2023 16:00:00,129.84,133.3,129.79,132.31,22513132
9/29/2023 16:00:00,133.28,134.05,130.36,130.86,30859790
10/2/2023 16:00:00,131.21,134.42,131.17,134.17,22288038
10/3/2023 16:00:00,133.94,134.26,131.84,132.43,22989401
10/4/2023 16:00:00,132.79,135.57,132.53,135.24,26752295
10/5/2023 16:00:00,135.07,135.49,133.45,135.07,19832615
10/6/2023 16:00:00,134.01,138.16,134.01,137.58,27597598
10/9/2023 16:00:00,136.94,138.94,135.61,138.42,19278070
10/10/2023 16:00:00,138.5,139.72,137.33,138.06,27786613
10/11/2023 16:00:00,138.58,141.11,138.58,140.55,25884303
10/12/2023 16:00:00,141.05,141.22,138.26,138.97,24765537
10/13/2023 16:00:00,139.38,140,136.62,137.36,23435599
10/16/2023 16:00:00,138.17,139.63,137.99,139.1,28501871
10/17/2023 16:00:00,138.63,139.9,137.18,139.72,23515780
10/18/2023 16:00:00,139.45,140.72,137.38,137.96,23374998
10/19/2023 16:00:00,138.5,139.66,137.38,137.75,26066011
10/20/2023 16:00:00,137.33,137.87,135.08,135.6,26335673
10/23/2023 16:00:00,135.04,137.66,133.95,136.5,26317930
10/24/2023 16:00:00,137.83,139.36,137.42,138.81,44814321
10/25/2023 16:00:00,128.16,128.31,125.07,125.61,84366208
10/26/2023 16:00:00,123.27,124.33,121.27,122.28,57061140
10/27/2023 16:00:00,122.88,123.31,120.21,122.17,44566506
10/30/2023 16:00:00,123.21,125.4,122.75,124.46,28940081
10/31/2023 16:00:00,125.06,125.37,122.69,124.08,26292342
11/1/2023 16:00:00,124.07,126.49,123.72,126.45,30082438
11/2/2023 16:00:00,128.42,128.98,126.93,127.49,27124647
11/3/2023 16:00:00,128.02,129.53,127.86,129.1,26393109
11/6/2023 16:00:00,129.05,130.34,128.67,130.25,19052740
11/7/2023 16:00:00,130.71,131.91,129.88,130.97,29757276
11/8/2023 16:00:00,130.97,132.21,130.78,131.84,26425849
11/9/2023 16:00:00,131.96,132.55,130.07,130.24,23747773
11/10/2023 16:00:00,130.1,132.8,129.41,132.59,26927826
11/13/2023 16:00:00,131.78,132.59,131.25,132.09,18324751
11/14/2023 16:00:00,134.19,135.7,133.32,133.62,32395178
11/15/2023 16:00:00,134.87,135.03,133.57,134.62,23861515
11/16/2023 16:00:00,135.19,137.22,134.32,136.93,28013179
11/17/2023 16:00:00,136,136.06,133.65,135.31,37287691
11/20/2023 16:00:00,133.69,136.66,133.62,136.25,27850762
11/21/2023 16:00:00,136.29,137.18,135.96,136.97,22635272
11/22/2023 16:00:00,137.47,139.42,137.47,138.49,17820456
11/24/2023 13:05:00,138.03,138.13,135.99,136.69,12514322
11/27/2023 16:00:00,136.03,138.42,136,136.41,23436526
11/28/2023 16:00:00,136.08,137.25,135.42,137.2,18730032
11/29/2023 16:00:00,137.57,138.29,134.84,134.99,23967222
11/30/2023 16:00:00,135.05,135.55,131.28,132.53,38988263
12/1/2023 16:00:00,131.86,132.11,130.67,131.86,31442263
12/4/2023 16:00:00,129.88,130.03,127.9,129.27,36669876
12/5/2023 16:00:00,128.95,132.14,128.25,130.99,27384784
12/6/2023 16:00:00,131.44,131.84,129.88,130.02,23576176
12/7/2023 16:00:00,135.04,138.56,134.7,136.93,56767100
12/8/2023 16:00:00,134.2,136.4,134.03,134.99,32260112
12/11/2023 16:00:00,132.38,133.34,131.36,133.29,31138011
12/12/2023 16:00:00,131.81,133,131.26,132.52,29032831
12/13/2023 16:00:00,133.38,133.5,131.57,132.57,30104775
12/14/2023 16:00:00,133.38,133.72,129.69,131.94,38722413
12/15/2023 16:00:00,131.62,133.51,131.18,132.6,50847113
12/18/2023 16:00:00,132.63,137.15,132.43,135.8,32257967
12/19/2023 16:00:00,136.84,137.47,136.08,136.65,25476753
12/20/2023 16:00:00,138.97,141.7,138.07,138.34,49107179
12/21/2023 16:00:00,139.49,140.69,139.18,140.42,27488284
12/22/2023 16:00:00,140.77,141.99,140.71,141.49,26532199
12/26/2023 16:00:00,141.59,142.68,141.19,141.52,16780333
12/27/2023 16:00:00,141.59,142.08,139.89,140.37,19628618
12/28/2023 16:00:00,140.78,141.14,139.75,140.23,16045712
12/29/2023 16:00:00,139.63,140.36,138.78,139.69,18733017
